2022-03-11 02:43:24 status unpacked libudev1:armhf 237-3ubuntu10
2022-03-11 02:43:24 status unpacked libudev1:armhf 237-3ubuntu10
2022-03-11 02:43:24 install libuuid1:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status half-installed libuuid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 install libzstd1:armhf <none> 1.3.3+dfsg-2ubuntu1
2022-03-11 02:43:24 status half-installed libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-03-11 02:43:24 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-03-11 02:43:24 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-03-11 02:43:24 install login:armhf <none> 1:4.5-1ubuntu1
2022-03-11 02:43:24 status half-installed login:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:24 status unpacked login:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:24 status unpacked login:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:24 install lsb-base:all <none> 9.20170808ubuntu1
2022-03-11 02:43:24 status half-installed lsb-base:all 9.20170808ubuntu1
2022-03-11 02:43:24 status unpacked lsb-base:all 9.20170808ubuntu1
2022-03-11 02:43:24 status unpacked lsb-base:all 9.20170808ubuntu1
2022-03-11 02:43:24 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-03-11 02:43:24 status half-configured mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 status half-installed mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 status half-installed mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-03-11 02:43:24 install mount:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status half-installed mount:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 install ncurses-base:all <none> 6.1-1ubuntu1
2022-03-11 02:43:24 status half-installed ncurses-base:all 6.1-1ubuntu1
2022-03-11 02:43:24 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-03-11 02:43:24 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-03-11 02:43:24 install ncurses-bin:armhf <none> 6.1-1ubuntu1
2022-03-11 02:43:24 status half-installed ncurses-bin:armhf 6.1-1ubuntu1
2022-03-11 02:43:25 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2022-03-11 02:43:25 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2022-03-11 02:43:25 install passwd:armhf <none> 1:4.5-1ubuntu1
2022-03-11 02:43:25 status half-installed passwd:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:25 status unpacked passwd:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:25 status unpacked passwd:armhf 1:4.5-1ubuntu1
2022-03-11 02:43:25 upgrade perl-base:armhf 5.26.1-6 5.26.1-6
2022-03-11 02:43:25 status half-configured perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 status unpacked perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 status half-installed perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 status half-installed perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 status unpacked perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 status unpacked perl-base:armhf 5.26.1-6
2022-03-11 02:43:25 install procps:armhf <none> 2:3.3.12-3ubuntu1
2022-03-11 02:43:25 status half-installed procps:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:26 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:26 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:26 install sed:armhf <none> 4.4-2
2022-03-11 02:43:26 status half-installed sed:armhf 4.4-2
2022-03-11 02:43:26 status unpacked sed:armhf 4.4-2
2022-03-11 02:43:26 status unpacked sed:armhf 4.4-2
